,Size,Fold,k,Accuracy,Time,Kappa,Recall,F1 Score
1,200.0,10.0,2.0,0.8,0.2529999999296706,0.7720797720797721,0.8,0.8041666666666666
2,200.0,10.0,2.0,0.65,0.1399999999875945,0.6011396011396011,0.65,0.6358333333333333
3,200.0,10.0,2.0,0.7,0.22400000000288856,0.6439169139465875,0.7,0.6783333333333333
4,200.0,10.0,2.0,0.45,0.17500000001291482,0.3939393939393939,0.45,0.4841666666666666
5,200.0,10.0,2.0,0.8,0.19600000007358176,0.7720797720797721,0.8,0.8166666666666668
6,200.0,10.0,2.0,0.55,0.13599999999769352,0.4871794871794872,0.55,0.49499999999999994
7,200.0,10.0,2.0,0.75,0.1519999999572974,0.7076023391812866,0.75,0.7256060606060606
8,200.0,10.0,2.0,0.5,0.14200000009623182,0.4459833795013851,0.5,0.5002380952380953
9,200.0,10.0,2.0,0.55,0.2459999999473439,0.4767441860465117,0.55,0.5206060606060606
0,500.0,2.0,5.0,0.76,2.449999999953434,0.7325011145786893,0.76,0.7561212196219256
1,500.0,2.0,5.0,0.76,2.4099999999407373,0.7323674772958411,0.76,0.7556699828849575
0,500.0,5.0,5.0,0.8,1.538999999979751,0.7758601367253166,0.8,0.8030601995184038
1,500.0,5.0,5.0,0.77,1.6450000000531873,0.7427293064876958,0.77,0.7643783564217002
2,500.0,5.0,5.0,0.78,1.5290000000049986,0.7532249018508133,0.78,0.7842153456278844
3,500.0,5.0,5.0,0.81,1.5570000000479922,0.788489368807748,0.81,0.8122991983861547
4,500.0,5.0,5.0,0.81,1.53499999998985,0.7872102139097323,0.81,0.8087551981408072
0,500.0,10.0,5.0,0.82,0.8740000000670989,0.7982967279246974,0.82,0.8202564102564103
1,500.0,10.0,5.0,0.76,0.8840000000418513,0.7275204359673024,0.76,0.7530729765590446
2,500.0,10.0,5.0,0.82,0.8789999999407883,0.7960108794197642,0.82,0.817157796451914
3,500.0,10.0,5.0,0.7,0.877999999943313,0.6656263932233615,0.7,0.6995930735930735
4,500.0,10.0,5.0,0.76,0.9119999999711581,0.731783638801967,0.76,0.7743650793650794
5,500.0,10.0,5.0,0.88,0.9109999999736829,0.8615597600369174,0.88,0.8827070707070708
6,500.0,10.0,5.0,0.9,0.8810000000494256,0.8874887488748875,0.9,0.9047490287490288
7,500.0,10.0,5.0,0.76,0.8769999999458378,0.7321428571428572,0.76,0.7564790764790765
8,500.0,10.0,5.0,0.8,0.9139999999661086,0.774876181900045,0.8,0.8026123680241328
9,500.0,10.0,5.0,0.82,0.9189999999534848,0.7948951686417502,0.82,0.8149919719083806
0,1000.0,2.0,8.0,0.822,11.437999999998283,0.8019625731514652,0.822,0.8203914349730109
1,1000.0,2.0,8.0,0.8,11.418000000048778,0.7776888533191054,0.8,0.7982034641758476
0,1000.0,5.0,8.0,0.84,7.190000000036889,0.8216127323912256,0.84,0.8367835582481169
1,1000.0,5.0,8.0,0.855,7.196000000021741,0.8381967304580706,0.855,0.8553994566143949
2,1000.0,5.0,8.0,0.835,7.164999999986321,0.8157659669495311,0.835,0.834365555038352
3,1000.0,5.0,8.0,0.845,7.156999999892832,0.8273365266792916,0.845,0.8429096239096239
4,1000.0,5.0,8.0,0.84,7.155000000011569,0.8209890355784292,0.84,0.8407235602183466
0,1000.0,10.0,8.0,0.83,4.056999999988875,0.8087954110898662,0.83,0.827683665297476
1,1000.0,10.0,8.0,0.86,4.0169999999761785,0.8435579394345737,0.86,0.8582991569833677
2,1000.0,10.0,8.0,0.86,4.0340000000469445,0.8426612721959991,0.86,0.8605880567436631
3,1000.0,10.0,8.0,0.86,4.014999999981228,0.8436452981907527,0.86,0.860690921283141
4,1000.0,10.0,8.0,0.84,4.127000000039516,0.8211491169237648,0.84,0.8418506097306875
5,1000.0,10.0,8.0,0.84,4.037999999923159,0.8212090736395128,0.84,0.838598717872199
6,1000.0,10.0,8.0,0.82,4.006000000003951,0.7995322418977615,0.82,0.8191889981363666
7,1000.0,10.0,8.0,0.89,4.027999999948406,0.8765570643025474,0.89,0.8864898050974513
8,1000.0,10.0,8.0,0.85,4.03500000004442,0.8318385650224215,0.85,0.8500704376612304
9,1000.0,10.0,8.0,0.86,4.029999999943357,0.8429260630539661,0.86,0.8624310852546145
0,2000.0,2.0,8.0,0.871,42.4319999999625,0.8565657846018366,0.871,0.8707520574674499
1,2000.0,2.0,8.0,0.863,42.35000000005584,0.8474385828937449,0.863,0.8625352419372432
0,2000.0,5.0,8.0,0.8975,26.859000000058586,0.8858606386236464,0.8975,0.8977366389399879
1,2000.0,5.0,8.0,0.8975,26.955000000043583,0.8859550913402363,0.8975,0.8963867082445502
2,2000.0,5.0,8.0,0.865,26.886999999987893,0.8496973070767518,0.865,0.8639222894770049
3,2000.0,5.0,8.0,0.9125,26.85600000006616,0.9021765712888237,0.9125,0.9124733065027673
4,2000.0,5.0,8.0,0.9125,27.004000000033557,0.9025035690657752,0.9125,0.9123859186572711
0,2000.0,10.0,8.0,0.87,15.726999999969848,0.8550037643253492,0.87,0.869135001242144
1,2000.0,10.0,8.0,0.895,15.35999999998694,0.8827797934691599,0.895,0.8964331251643693
2,2000.0,10.0,8.0,0.905,15.340000000037435,0.8937479029191365,0.905,0.9047181824306155
3,2000.0,10.0,8.0,0.905,16.021000000023378,0.8942240779401531,0.905,0.9024636470558518
4,2000.0,10.0,8.0,0.88,15.371999999956643,0.8656891823828977,0.88,0.8783924324669321
5,2000.0,10.0,8.0,0.85,15.412999999966814,0.8330039800718083,0.85,0.8478075584298196
6,2000.0,10.0,8.0,0.92,15.458000000080574,0.9106220149149513,0.92,0.9202587740594841
7,2000.0,10.0,8.0,0.92,15.723999999977423,0.9101426485454341,0.92,0.9203547566420098
8,2000.0,10.0,8.0,0.895,15.425999999933993,0.8831385642737897,0.895,0.8954262206384446
9,2000.0,10.0,8.0,0.94,15.733000000068387,0.932758041017595,0.94,0.9401096827572928
0,5000.0,2.0,8.0,0.9144,281.3980000000811,0.9048083017124898,0.9144,0.9140154892040646
1,5000.0,2.0,8.0,0.9116,279.3130000000019,0.901712357522945,0.9116,0.9113540303127596
0,5000.0,5.0,8.0,0.932,213.63699999994878,0.924374953429429,0.932,0.931156029084654
1,5000.0,5.0,8.0,0.927,217.47900000002574,0.9187270654458656,0.927,0.9268239990006605
2,5000.0,5.0,8.0,0.935,213.67599999985032,0.9276684768094009,0.935,0.9344991875688685
3,5000.0,5.0,8.0,0.92,215.14400000000933,0.9110736632426322,0.92,0.9193798544877972
4,5000.0,5.0,8.0,0.938,220.94300000003386,0.931036477254273,0.938,0.9379359624178165
0,5000.0,10.0,8.0,0.948,136.39100000000326,0.9421167460706176,0.948,0.9479269717273372
1,5000.0,10.0,8.0,0.92,136.82399999993322,0.9110379645486288,0.92,0.9183257558537217
2,5000.0,10.0,8.0,0.928,136.87300000015057,0.9197675040561984,0.928,0.9275552815647514
3,5000.0,10.0,8.0,0.934,136.11700000001292,0.92653279308963,0.934,0.9340543649137755
4,5000.0,10.0,8.0,0.94,136.31200000008903,0.9331750324101092,0.94,0.9397057227126424
5,5000.0,10.0,8.0,0.928,139.0839999999116,0.9198307538136065,0.928,0.9275474029679358
6,5000.0,10.0,8.0,0.938,137.04100000018116,0.9310611687578112,0.938,0.9376291966182542
7,5000.0,10.0,8.0,0.918,136.20600000012928,0.9087583118952456,0.918,0.9176342084021174
8,5000.0,10.0,8.0,0.936,136.1420000000635,0.9287403521117351,0.936,0.9355196264626117
9,5000.0,10.0,8.0,0.936,136.58500000019558,0.9287524101723746,0.936,0.936404463807566
0,10000.0,2.0,9.0,0.9348,1541.2890000000061,0.9275160501921558,0.9348,0.9345963327290072
1,10000.0,2.0,9.0,0.9338,1538.1159999999454,0.926400058773222,0.9338,0.9337480953040084
0,10000.0,5.0,9.0,0.939,1026.8519999999626,0.9321638454425503,0.939,0.9387851919282076
1,10000.0,5.0,9.0,0.946,1029.594999999972,0.9399613417750652,0.946,0.9457659554321918
2,10000.0,5.0,9.0,0.9415,1029.1819999999916,0.934952913136565,0.9415,0.9414590663068649
3,10000.0,5.0,9.0,0.9335,1027.3850000000948,0.9260147041603378,0.9335,0.9336212431772909
4,10000.0,5.0,9.0,0.9485,1032.4689999999919,0.9427590313605484,0.9485,0.9483457878019192
0,10000.0,10.0,9.0,0.943,595.2010000000882,0.9366086988434981,0.943,0.9427812162168118
1,10000.0,10.0,9.0,0.942,608.8109999998323,0.9354337405460524,0.942,0.9417939444837038
2,10000.0,10.0,9.0,0.955,600.0629999998637,0.949932798689797,0.955,0.9547746228965643
3,10000.0,10.0,9.0,0.94,594.7869999999966,0.9333096211986485,0.94,0.9397103226527055
4,10000.0,10.0,9.0,0.945,594.7570000000724,0.9388254712941305,0.945,0.9449860991635605
5,10000.0,10.0,9.0,0.943,593.2350000000497,0.9365888823623645,0.943,0.942744699453718
6,10000.0,10.0,9.0,0.946,592.9449999998724,0.9398607442121535,0.946,0.946062738584785
7,10000.0,10.0,9.0,0.929,652.5320000000647,0.9210386421315563,0.929,0.9291448173327301
8,10000.0,10.0,9.0,0.953,595.9200000002056,0.9477469484773794,0.953,0.9527877885448635
9,10000.0,10.0,9.0,0.952,654.6720000001187,0.9466247967850336,0.952,0.9518640849632268
0,20000.0,2.0,10.0,0.9487,8883.81000000004,0.9429763649704721,0.9487,0.9486257906034522
1,20000.0,2.0,10.0,0.946,7185.844999999972,0.9399503496146246,0.946,0.9458164982886448
0,20000.0,5.0,10.0,0.958,4402.928999999858,0.9533104424808274,0.958,0.9578463590842637
1,20000.0,5.0,10.0,0.954,4975.737999999865,0.9488543087187282,0.954,0.9539937668544745
2,20000.0,5.0,10.0,0.96275,4869.935999999825,0.958589497129196,0.96275,0.9626677564049799
3,20000.0,5.0,10.0,0.95925,4472.061000000167,0.9546825537215041,0.95925,0.9591891637100156
4,20000.0,5.0,10.0,0.954,4373.009000000138,0.9488414748835969,0.954,0.9537987908146897
0,20000.0,10.0,10.0,0.9595,2461.604999999963,0.954961141473727,0.9595,0.9593532360963616
1,20000.0,10.0,10.0,0.961,2482.915999999932,0.9566396146040002,0.961,0.9608503443351321
