,Fold,Alpha,k,Accuracy,Time,Kappa,Recall,F1 Score
0,2.0,5.0,1.0,0.6776666666666666,3154.7349999999315,0.6417179688268082,0.6776666666666666,0.6771563304825792
1,2.0,5.0,5.0,0.7264285714285714,2797.137000000045,0.6959172255731036,0.7264285714285714,0.7241447895062305
2,2.0,5.0,10.0,0.7400714285714286,2840.6294999998727,0.7110877628332463,0.7400714285714286,0.7383819624958232
3,2.0,5.0,15.0,0.743642857142857,2959.4529999998613,0.715066745320228,0.743642857142857,0.7422812520959284
4,2.0,5.0,20.0,0.7455,2943.3159999996583,0.7171276646800182,0.7455,0.7440741765982887
5,2.0,5.0,25.0,0.7456904761904761,2997.4760000002316,0.7173400757621775,0.7456904761904761,0.7444001915597505
6,2.0,5.0,30.0,0.7456428571428572,3053.000499999726,0.7172834144463743,0.7456428571428572,0.7443216789033205
7,2.0,5.0,35.0,0.7436904761904761,3124.6729999999125,0.7151108390780613,0.7436904761904761,0.7422752411892835
8,2.0,5.0,40.0,0.7444523809523809,3179.3370000000464,0.7159575241396777,0.7444523809523809,0.7429904686447257
9,2.0,5.0,45.0,0.7432857142857143,3274.011999999992,0.7146601960994078,0.7432857142857143,0.7417788270638315
10,2.0,5.0,50.0,0.7426904761904762,3333.6574999997383,0.7139955122155459,0.7426904761904762,0.7411098840529049
11,2.0,10.0,1.0,0.9004047619047619,3944.364500000077,0.8893034157719479,0.9004047619047619,0.9002956289536685
12,2.0,10.0,5.0,0.9153333333333333,3627.802499999774,0.9058938776281045,0.9153333333333333,0.9150729202820429
13,2.0,10.0,10.0,0.9156666666666666,3687.0800000000336,0.9062649976909661,0.9156666666666666,0.9153625324024817
14,2.0,10.0,15.0,0.9137619047619048,3696.114500000235,0.9041485493975954,0.9137619047619048,0.9135285488447177
15,2.0,10.0,20.0,0.9115952380952381,3759.3194999999114,0.9017399593983069,0.9115952380952381,0.9113525840978167
16,2.0,10.0,25.0,0.9095238095238095,3813.570499999898,0.8994374236836986,0.9095238095238095,0.9093213455799944
17,2.0,10.0,30.0,0.907952380952381,3859.283500000096,0.8976909590175377,0.907952380952381,0.9077248909974305
18,2.0,10.0,35.0,0.9056190476190475,3940.433000000084,0.89509691448821,0.9056190476190475,0.9054091223296984
19,2.0,10.0,40.0,0.9038095238095238,4019.8370000002515,0.8930850030509394,0.9038095238095238,0.9035758923649446
20,2.0,10.0,45.0,0.9021428571428571,4081.0129999998635,0.8912322852855283,0.9021428571428571,0.9019510844385654
21,2.0,10.0,50.0,0.9011904761904762,4153.352500000096,0.8901735436246567,0.9011904761904762,0.9009857774889405
22,2.0,15.0,1.0,0.9432142857142858,5542.321500000064,0.9368840512218151,0.9432142857142858,0.9431892497034322
23,2.0,15.0,5.0,0.9494047619047619,5225.606500000289,0.9437642316192388,0.9494047619047619,0.9493265235396302
24,2.0,15.0,10.0,0.9477619047619048,5273.4340000001575,0.9419386333330539,0.9477619047619048,0.9476600941273925
25,2.0,15.0,15.0,0.9437857142857142,5382.334999999934,0.9375187233920428,0.9437857142857142,0.9437317215566632
26,2.0,15.0,20.0,0.9418333333333333,5386.428500000107,0.9353482668706086,0.9418333333333333,0.9417574321713396
27,2.0,15.0,25.0,0.9395714285714285,5400.383500000033,0.932834096006407,0.9395714285714285,0.9395120184431341
28,2.0,15.0,30.0,0.9375238095238095,5500.74499999964,0.9305575119157039,0.9375238095238095,0.9374482054869455
29,2.0,15.0,35.0,0.9352380952380952,5568.983500000087,0.9280167166313618,0.9352380952380952,0.9351674996579831
30,2.0,15.0,40.0,0.9342619047619047,5614.3460000000405,0.9269312985081763,0.9342619047619047,0.9341912527805799
31,2.0,15.0,45.0,0.9328571428571428,5668.977000000097,0.9253694192621548,0.9328571428571428,0.9327975574913008
32,2.0,15.0,50.0,0.9308095238095238,5794.258999999769,0.9230934052449511,0.9308095238095238,0.9307352494923864
33,2.0,20.0,1.0,0.9578333333333333,6610.918500000409,0.9531319013634563,0.9578333333333333,0.957809086061159
34,2.0,20.0,5.0,0.9609761904761904,6358.839999999858,0.9566246531846129,0.9609761904761904,0.960926101368636
35,2.0,20.0,10.0,0.9592142857142858,6449.731000000128,0.9546657538282222,0.9592142857142858,0.9591461730457675
36,2.0,20.0,15.0,0.9557142857142857,6554.976500000023,0.9507755554747845,0.9557142857142857,0.9556587464138306
37,2.0,20.0,20.0,0.9534285714285715,6645.746500000101,0.948234383955442,0.9534285714285715,0.9533523780150519
38,2.0,20.0,25.0,0.9514523809523809,6698.931000000101,0.9460375097604334,0.9514523809523809,0.9513711223328469
39,2.0,20.0,30.0,0.9495238095238094,6736.488999999963,0.9438932432579124,0.9495238095238094,0.9494499814242296
40,2.0,20.0,35.0,0.9474761904761905,6803.266999999778,0.9416166623181361,0.9474761904761905,0.9474053936717266
41,2.0,20.0,40.0,0.946595238095238,6941.548999999895,0.9406370341604108,0.946595238095238,0.946514704172476
42,2.0,20.0,45.0,0.9445238095238095,7037.066000000067,0.9383341381995687,0.9445238095238095,0.9444381897096314
43,2.0,20.0,50.0,0.9432619047619047,7138.96549999977,0.9369311062662191,0.9432619047619047,0.9431769185677934
44,2.0,25.0,1.0,0.962952380952381,8657.54550000007,0.9588215039305528,0.962952380952381,0.9629184393293622
45,2.0,25.0,5.0,0.9647380952380953,8226.470499999848,0.9608058852557099,0.9647380952380953,0.9646834893348408
46,2.0,25.0,10.0,0.9627380952380953,8362.835999999732,0.9585819811098009,0.9627380952380953,0.9626759301936099
