,Fold,k,Accuracy,Time,Kappa,Recall,F1 Score
31,2.0,315.0,0.8861190476190477,29883.394498,0.8733370953764263,0.8861190476190477,0.8864927855500446
32,2.0,373.0,0.8775714285714286,32154.4895645,0.8638181665377029,0.8775714285714286,0.8780706453341882
33,2.0,443.0,0.868047619047619,34366.7641155,0.8532100784256695,0.868047619047619,0.8687584557397252
34,2.0,526.0,0.8580952380952381,38320.789348,0.8421216410003762,0.8580952380952381,0.8589983234357432
35,2.0,625.0,0.8468571428571429,44072.653114999994,0.829598240338301,0.8468571428571429,0.8479899983774799
36,2.0,744.0,0.8345,51532.917514,0.8158240883876526,0.8345,0.835791711660691
37,2.0,887.0,0.8192857142857143,60533.502253499995,0.7988602944720963,0.8192857142857143,0.8208655417691519
38,2.0,1058.0,0.8044047619047618,72516.203404,0.7822627778461765,0.8044047619047618,0.8061888752359636
39,2.0,1263.0,0.7888809523809523,86722.7297555,0.7649382310753592,0.7888809523809523,0.7908021524153801
40,2.0,1509.0,0.7705714285714286,106945.2966535,0.744498957400626,0.7705714285714286,0.7727039010126503
41,2.0,1804.0,0.7504047619047619,134312.2801875,0.7219751259122458,0.7504047619047619,0.7527400381869346
42,2.0,2158.0,0.7298809523809524,170789.16144199998,0.6990403232192273,0.7298809523809524,0.7323017033632646
43,2.0,2582.0,0.7062857142857143,212994.87906,0.6726609194878395,0.7062857142857143,0.7085021573656247
44,2.0,3091.0,0.6812619047619047,267961.085571,0.6446605299117999,0.6812619047619047,0.6832747990316883
45,2.0,3702.0,0.6543809523809524,340464.515274,0.6145649224285838,0.6543809523809524,0.6561802759928851
46,2.0,4434.0,0.6226190476190476,427221.5781925,0.5789717910505935,0.6226190476190476,0.6235903957345966
47,2.0,5313.0,0.5872619047619048,530534.351448,0.5393133767436395,0.5872619047619048,0.5873665232907079
48,2.0,6367.0,0.5485,650505.0320845,0.49577343520148337,0.5485,0.5479885484656025
49,2.0,7632.0,0.5024285714285714,794525.9112199999,0.44395545553388516,0.5024285714285714,0.5024268184380171
50,2.0,9150.0,0.4464285714285714,945254.0686114999,0.3808772506792479,0.4464285714285714,0.4454644320660466
51,2.0,10971.0,0.3822857142857143,1063299.9018555,0.30843432091253553,0.3822857142857143,0.3773948877065122
52,2.0,13156.0,0.302952380952381,1082019.2306755,0.21857484585116943,0.302952380952381,0.2870700498440861
53,2.0,15778.0,0.21035714285714285,957277.0367645,0.11330998951050736,0.21035714285714285,0.17013839214696147
54,2.0,18924.0,0.12261904761904763,528573.832596,0.013052295066013964,0.12261904761904763,0.04243675361439751
