,Fold,Accuracy,Time,Kappa,F1 Score
0,2,0.967166666666667,27.020702,0.963504511366818,0.967111019439116
1,5,0.973166666666667,16.8896532,0.970172945082454,0.973130196317306
2,10,0.9745,9.74040199999998,0.971651891421064,0.974471951191462
3,15,0.97497619047619,7.05060879999999,0.972177958524751,0.974950938918122
4,20,0.974880952380952,5.4455911,0.972068311395941,0.974855552838487
